1,16
1,17
1,18
1,19
28,16
28,17
28,18
28,19
68,16
68,17
68,18
68,19
82,19
82,110
130,146
130,18
457,146
457,110
471,146
471,110
496,146
496,110
517,526
532,146
532,16
532,19
532,110
564,146
564,16
564,19
564,110
598,146
598,610
598,611
615,146
641,16
641,17
641,669
681,146
681,16
681,19
698,16
698,17
698,669
710,16
710,17
710,18
737,16
737,17
737,18
737,19
737,746
750,146
770,146
770,779
770,780
781,146
781,16
781,110
797,16
797,17
797,669
805,16
805,17
805,18
1096,146
1096,16
1096,19
1096,110
1097,146
1097,16
1097,611
1118,146
1118,110
1241,17
1241,1256
1241,1257
1241,1258
1293,146
1293,18
1293,19
1356,146
1356,16
1356,610
1356,611
1366,16
1366,779
1366,1256
1412,16
1412,18
1412,110
1550,146
1550,18
1550,779
1550,780
1596,146
1596,610
1693,146
1693,610
1768,146
1768,16
1768,18
1768,19
1856,17
1856,669
1856,1256
1856,1258
1935,779
1935,1256
1935,1258
2008,17
2008,1256
2008,1258
2055,16
2232,16
2232,669
2232,2246
2398,1256
2398,1258
2422,17
2422,1256
2422,1257
2422,1258
2498,16
2498,17
2498,1256
2654,16
2654,17
2654,18
2654,669
2767,19
2767,110
2767,746
2885,146
2885,17
2885,1258
3106,146
3106,110
3106,779
3252,146
3252,19
3252,110
3252,3270
3390,610
3459,146
3624,610
3680,146
3680,19
3680,110
3680,610
3753,146
3915,146
